StudentId,CourseId,Section no,seat no
0,54,2,36
0,7,1,48
0,37,2,134
1,8,2,40
1,133,2,151
1,72,1,37
1,140,2,39
2,29,1,36
2,19,2,44
2,31,1,36
3,89,2,36
3,86,2,43
3,106,1,48
4,23,1,151
4,129,1,30
4,47,2,49
5,109,2,31
5,80,1,41
5,7,2,40
5,71,1,36
6,85,2,37
6,62,2,37
6,37,1,151
7,46,1,48
7,121,2,36
7,20,2,49
8,5,2,97
8,121,1,49
8,103,1,44
9,104,1,35
9,79,1,39
9,15,1,35
10,71,1,37
10,97,1,31
10,26,1,37
10,36,2,97
11,120,1,36
11,62,1,36
11,95,1,36
12,85,1,44
12,58,1,135
12,43,2,49
13,126,2,96
13,148,1,31
13,35,2,43
14,113,2,35
14,103,2,35
14,74,2,51
15,18,1,48
15,20,1,45
15,41,2,41
15,2,2,38
16,57,2,48
16,44,1,43
16,93,2,135
17,135,2,41
17,20,1,46
17,127,2,36
18,110,2,41
18,125,2,44
18,57,1,37
19,68,2,30
19,47,2,50
19,21,1,36
19,14,2,48
20,47,1,150
20,9,1,36
20,48,2,30
21,58,1,136
21,120,2,49
21,53,2,35
22,129,2,51
22,43,2,50
22,96,1,41
22,25,1,43
23,9,2,36
23,88,2,41
23,120,2,50
24,20,1,47
24,102,2,45
24,123,1,36
25,71,2,31
25,84,2,36
25,73,2,36
26,62,2,38
26,146,1,44
26,55,1,48
27,81,1,36
27,148,1,32
27,127,1,35
28,141,1,36
28,71,1,38
28,31,2,40
29,59,2,31
29,29,2,36
29,14,1,35
29,37,1,152
30,71,2,32
30,27,1,35
30,99,2,31
31,13,2,41
31,150,2,37
31,57,1,38
32,41,1,37
32,106,2,37
32,56,2,41
32,76,2,134
33,135,1,51
33,142,1,40
33,128,1,49
34,75,1,49
34,121,1,50
34,6,1,31
35,33,1,40
35,80,2,40
35,131,2,40
36,92,2,36
36,87,2,41
36,83,1,36
36,133,1,40
37,90,2,31
37,124,2,49
37,111,2,48
37,138,2,40
38,93,1,48
38,60,2,36
38,56,2,42
